"","species","body_mass_g","sex"
"1","Adelie Penguin (Pygoscelis adeliae)",3750,"Male"
"2","Adelie Penguin (Pygoscelis adeliae)",3800,"Female"
"3","Adelie Penguin (Pygoscelis adeliae)",3250,"Female"
"4","Adelie Penguin (Pygoscelis adeliae)",3450,"Female"
"5","Adelie Penguin (Pygoscelis adeliae)",3650,"Male"
"6","Adelie Penguin (Pygoscelis adeliae)",3625,"Female"
"7","Adelie Penguin (Pygoscelis adeliae)",4675,"Male"
"8","Adelie Penguin (Pygoscelis adeliae)",3200,"Female"
"9","Adelie Penguin (Pygoscelis adeliae)",3800,"Male"
"10","Adelie Penguin (Pygoscelis adeliae)",4400,"Male"
"11","Adelie Penguin (Pygoscelis adeliae)",3700,"Female"
"12","Adelie Penguin (Pygoscelis adeliae)",3450,"Female"
"13","Adelie Penguin (Pygoscelis adeliae)",4500,"Male"
"14","Adelie Penguin (Pygoscelis adeliae)",3325,"Female"
"15","Adelie Penguin (Pygoscelis adeliae)",4200,"Male"
"16","Adelie Penguin (Pygoscelis adeliae)",3400,"Female"
"17","Adelie Penguin (Pygoscelis adeliae)",3600,"Male"
"18","Adelie Penguin (Pygoscelis adeliae)",3800,"Female"
"19","Adelie Penguin (Pygoscelis adeliae)",3950,"Male"
"20","Adelie Penguin (Pygoscelis adeliae)",3800,"Male"
"21","Adelie Penguin (Pygoscelis adeliae)",3800,"Female"
"22","Adelie Penguin (Pygoscelis adeliae)",3550,"Male"
"23","Adelie Penguin (Pygoscelis adeliae)",3200,"Female"
"24","Adelie Penguin (Pygoscelis adeliae)",3150,"Female"
"25","Adelie Penguin (Pygoscelis adeliae)",3950,"Male"
"26","Adelie Penguin (Pygoscelis adeliae)",3250,"Female"
"27","Adelie Penguin (Pygoscelis adeliae)",3900,"Male"
"28","Adelie Penguin (Pygoscelis adeliae)",3300,"Female"
"29","Adelie Penguin (Pygoscelis adeliae)",3900,"Male"
"30","Adelie Penguin (Pygoscelis adeliae)",3325,"Female"
"31","Adelie Penguin (Pygoscelis adeliae)",4150,"Male"
"32","Adelie Penguin (Pygoscelis adeliae)",3950,"Male"
"33","Adelie Penguin (Pygoscelis adeliae)",3550,"Female"
"34","Adelie Penguin (Pygoscelis adeliae)",3300,"Female"
"35","Adelie Penguin (Pygoscelis adeliae)",4650,"Male"
"36","Adelie Penguin (Pygoscelis adeliae)",3150,"Female"
"37","Adelie Penguin (Pygoscelis adeliae)",3900,"Male"
"38","Adelie Penguin (Pygoscelis adeliae)",3100,"Female"
"39","Adelie Penguin (Pygoscelis adeliae)",4400,"Male"
"40","Adelie Penguin (Pygoscelis adeliae)",3000,"Female"
"41","Adelie Penguin (Pygoscelis adeliae)",4600,"Male"
"42","Adelie Penguin (Pygoscelis adeliae)",3425,"Male"
"43","Adelie Penguin (Pygoscelis adeliae)",3450,"Female"
"44","Adelie Penguin (Pygoscelis adeliae)",4150,"Male"
"45","Adelie Penguin (Pygoscelis adeliae)",3500,"Female"
"46","Adelie Penguin (Pygoscelis adeliae)",4300,"Male"
"47","Adelie Penguin (Pygoscelis adeliae)",3450,"Female"
"48","Adelie Penguin (Pygoscelis adeliae)",4050,"Male"
"49","Adelie Penguin (Pygoscelis adeliae)",2900,"Female"
"50","Adelie Penguin (Pygoscelis adeliae)",3700,"Male"
"51","Adelie Penguin (Pygoscelis adeliae)",3550,"Female"
"52","Adelie Penguin (Pygoscelis adeliae)",3800,"Male"
"53","Adelie Penguin (Pygoscelis adeliae)",2850,"Female"
"54","Adelie Penguin (Pygoscelis adeliae)",3750,"Male"
"55","Adelie Penguin (Pygoscelis adeliae)",3150,"Female"
"56","Adelie Penguin (Pygoscelis adeliae)",4400,"Male"
"57","Adelie Penguin (Pygoscelis adeliae)",3600,"Female"
"58","Adelie Penguin (Pygoscelis adeliae)",4050,"Male"
"59","Adelie Penguin (Pygoscelis adeliae)",2850,"Female"
"60","Adelie Penguin (Pygoscelis adeliae)",3950,"Male"
"61","Adelie Penguin (Pygoscelis adeliae)",3350,"Female"
"62","Adelie Penguin (Pygoscelis adeliae)",4100,"Male"
"63","Adelie Penguin (Pygoscelis adeliae)",3050,"Female"
"64","Adelie Penguin (Pygoscelis adeliae)",4450,"Male"
"65","Adelie Penguin (Pygoscelis adeliae)",3600,"Female"
"66","Adelie Penguin (Pygoscelis adeliae)",3900,"Male"
"67","Adelie Penguin (Pygoscelis adeliae)",3550,"Female"
"68","Adelie Penguin (Pygoscelis adeliae)",4150,"Male"
"69","Adelie Penguin (Pygoscelis adeliae)",3700,"Female"
"70","Adelie Penguin (Pygoscelis adeliae)",4250,"Male"
"71","Adelie Penguin (Pygoscelis adeliae)",3700,"Female"
"72","Adelie Penguin (Pygoscelis adeliae)",3900,"Male"
"73","Adelie Penguin (Pygoscelis adeliae)",3550,"Female"
"74","Adelie Penguin (Pygoscelis adeliae)",4000,"Male"
"75","Adelie Penguin (Pygoscelis adeliae)",3200,"Female"
"76","Adelie Penguin (Pygoscelis adeliae)",4700,"Male"
"77","Adelie Penguin (Pygoscelis adeliae)",3800,"Female"
"78","Adelie Penguin (Pygoscelis adeliae)",4200,"Male"
"79","Adelie Penguin (Pygoscelis adeliae)",3350,"Female"
"80","Adelie Penguin (Pygoscelis adeliae)",3550,"Male"
"81","Adelie Penguin (Pygoscelis adeliae)",3800,"Male"
"82","Adelie Penguin (Pygoscelis adeliae)",3500,"Female"
"83","Adelie Penguin (Pygoscelis adeliae)",3950,"Male"
"84","Adelie Penguin (Pygoscelis adeliae)",3600,"Female"
"85","Adelie Penguin (Pygoscelis adeliae)",3550,"Female"
"86","Adelie Penguin (Pygoscelis adeliae)",4300,"Male"
"87","Adelie Penguin (Pygoscelis adeliae)",3400,"Female"
"88","Adelie Penguin (Pygoscelis adeliae)",4450,"Male"
"89","Adelie Penguin (Pygoscelis adeliae)",3300,"Female"
"90","Adelie Penguin (Pygoscelis adeliae)",4300,"Male"
"91","Adelie Penguin (Pygoscelis adeliae)",3700,"Female"
"92","Adelie Penguin (Pygoscelis adeliae)",4350,"Male"
"93","Adelie Penguin (Pygoscelis adeliae)",2900,"Female"
"94","Adelie Penguin (Pygoscelis adeliae)",4100,"Male"
"95","Adelie Penguin (Pygoscelis adeliae)",3725,"Female"
"96","Adelie Penguin (Pygoscelis adeliae)",4725,"Male"
"97","Adelie Penguin (Pygoscelis adeliae)",3075,"Female"
"98","Adelie Penguin (Pygoscelis adeliae)",4250,"Male"
"99","Adelie Penguin (Pygoscelis adeliae)",2925,"Female"
"100","Adelie Penguin (Pygoscelis adeliae)",3550,"Male"
"101","Adelie Penguin (Pygoscelis adeliae)",3750,"Female"
"102","Adelie Penguin (Pygoscelis adeliae)",3900,"Male"
"103","Adelie Penguin (Pygoscelis adeliae)",3175,"Female"
"104","Adelie Penguin (Pygoscelis adeliae)",4775,"Male"
"105","Adelie Penguin (Pygoscelis adeliae)",3825,"Female"
"106","Adelie Penguin (Pygoscelis adeliae)",4600,"Male"
"107","Adelie Penguin (Pygoscelis adeliae)",3200,"Female"
"108","Adelie Penguin (Pygoscelis adeliae)",4275,"Male"
"109","Adelie Penguin (Pygoscelis adeliae)",3900,"Female"
"110","Adelie Penguin (Pygoscelis adeliae)",4075,"Male"
"111","Adelie Penguin (Pygoscelis adeliae)",2900,"Female"
"112","Adelie Penguin (Pygoscelis adeliae)",3775,"Male"
"113","Adelie Penguin (Pygoscelis adeliae)",3350,"Female"
"114","Adelie Penguin (Pygoscelis adeliae)",3325,"Male"
"115","Adelie Penguin (Pygoscelis adeliae)",3150,"Female"
"116","Adelie Penguin (Pygoscelis adeliae)",3500,"Male"
"117","Adelie Penguin (Pygoscelis adeliae)",3450,"Female"
"118","Adelie Penguin (Pygoscelis adeliae)",3875,"Male"
"119","Adelie Penguin (Pygoscelis adeliae)",3050,"Female"
"120","Adelie Penguin (Pygoscelis adeliae)",4000,"Male"
"121","Adelie Penguin (Pygoscelis adeliae)",3275,"Female"
"122","Adelie Penguin (Pygoscelis adeliae)",4300,"Male"
"123","Adelie Penguin (Pygoscelis adeliae)",3050,"Female"
"124","Adelie Penguin (Pygoscelis adeliae)",4000,"Male"
"125","Adelie Penguin (Pygoscelis adeliae)",3325,"Female"
"126","Adelie Penguin (Pygoscelis adeliae)",3500,"Male"
"127","Adelie Penguin (Pygoscelis adeliae)",3500,"Female"
"128","Adelie Penguin (Pygoscelis adeliae)",4475,"Male"
"129","Adelie Penguin (Pygoscelis adeliae)",3425,"Female"
"130","Adelie Penguin (Pygoscelis adeliae)",3900,"Male"
"131","Adelie Penguin (Pygoscelis adeliae)",3175,"Female"
"132","Adelie Penguin (Pygoscelis adeliae)",3975,"Male"
"133","Adelie Penguin (Pygoscelis adeliae)",3400,"Female"
"134","Adelie Penguin (Pygoscelis adeliae)",4250,"Male"
"135","Adelie Penguin (Pygoscelis adeliae)",3400,"Female"
"136","Adelie Penguin (Pygoscelis adeliae)",3475,"Male"
"137","Adelie Penguin (Pygoscelis adeliae)",3050,"Female"
"138","Adelie Penguin (Pygoscelis adeliae)",3725,"Male"
"139","Adelie Penguin (Pygoscelis adeliae)",3000,"Female"
"140","Adelie Penguin (Pygoscelis adeliae)",3650,"Male"
"141","Adelie Penguin (Pygoscelis adeliae)",4250,"Male"
"142","Adelie Penguin (Pygoscelis adeliae)",3475,"Female"
"143","Adelie Penguin (Pygoscelis adeliae)",3450,"Female"
"144","Adelie Penguin (Pygoscelis adeliae)",3750,"Male"
"145","Adelie Penguin (Pygoscelis adeliae)",3700,"Female"
"146","Adelie Penguin (Pygoscelis adeliae)",4000,"Male"
"147","Gentoo penguin (Pygoscelis papua)",4500,"Female"
"148","Gentoo penguin (Pygoscelis papua)",5700,"Male"
"149","Gentoo penguin (Pygoscelis papua)",4450,"Female"
"150","Gentoo penguin (Pygoscelis papua)",5700,"Male"
"151","Gentoo penguin (Pygoscelis papua)",5400,"Male"
"152","Gentoo penguin (Pygoscelis papua)",4550,"Female"
"153","Gentoo penguin (Pygoscelis papua)",4800,"Female"
"154","Gentoo penguin (Pygoscelis papua)",5200,"Male"
"155","Gentoo penguin (Pygoscelis papua)",4400,"Female"
"156","Gentoo penguin (Pygoscelis papua)",5150,"Male"
"157","Gentoo penguin (Pygoscelis papua)",4650,"Female"
"158","Gentoo penguin (Pygoscelis papua)",5550,"Male"
"159","Gentoo penguin (Pygoscelis papua)",4650,"Female"
"160","Gentoo penguin (Pygoscelis papua)",5850,"Male"
"161","Gentoo penguin (Pygoscelis papua)",4200,"Female"
"162","Gentoo penguin (Pygoscelis papua)",5850,"Male"
"163","Gentoo penguin (Pygoscelis papua)",4150,"Female"
"164","Gentoo penguin (Pygoscelis papua)",6300,"Male"
"165","Gentoo penguin (Pygoscelis papua)",4800,"Female"
"166","Gentoo penguin (Pygoscelis papua)",5350,"Male"
"167","Gentoo penguin (Pygoscelis papua)",5700,"Male"
"168","Gentoo penguin (Pygoscelis papua)",5000,"Female"
"169","Gentoo penguin (Pygoscelis papua)",4400,"Female"
"170","Gentoo penguin (Pygoscelis papua)",5050,"Male"
"171","Gentoo penguin (Pygoscelis papua)",5000,"Female"
"172","Gentoo penguin (Pygoscelis papua)",5100,"Male"
"173","Gentoo penguin (Pygoscelis papua)",5650,"Male"
"174","Gentoo penguin (Pygoscelis papua)",4600,"Female"
"175","Gentoo penguin (Pygoscelis papua)",5550,"Male"
"176","Gentoo penguin (Pygoscelis papua)",5250,"Male"
"177","Gentoo penguin (Pygoscelis papua)",4700,"Female"
"178","Gentoo penguin (Pygoscelis papua)",5050,"Female"
"179","Gentoo penguin (Pygoscelis papua)",6050,"Male"
"180","Gentoo penguin (Pygoscelis papua)",5150,"Female"
"181","Gentoo penguin (Pygoscelis papua)",5400,"Male"
"182","Gentoo penguin (Pygoscelis papua)",4950,"Female"
"183","Gentoo penguin (Pygoscelis papua)",5250,"Male"
"184","Gentoo penguin (Pygoscelis papua)",4350,"Female"
"185","Gentoo penguin (Pygoscelis papua)",5350,"Male"
"186","Gentoo penguin (Pygoscelis papua)",3950,"Female"
"187","Gentoo penguin (Pygoscelis papua)",5700,"Male"
"188","Gentoo penguin (Pygoscelis papua)",4300,"Female"
"189","Gentoo penguin (Pygoscelis papua)",4750,"Male"
"190","Gentoo penguin (Pygoscelis papua)",5550,"Male"
"191","Gentoo penguin (Pygoscelis papua)",4900,"Female"
"192","Gentoo penguin (Pygoscelis papua)",4200,"Female"
"193","Gentoo penguin (Pygoscelis papua)",5400,"Male"
"194","Gentoo penguin (Pygoscelis papua)",5100,"Female"
"195","Gentoo penguin (Pygoscelis papua)",5300,"Male"
"196","Gentoo penguin (Pygoscelis papua)",4850,"Female"
"197","Gentoo penguin (Pygoscelis papua)",5300,"Male"
"198","Gentoo penguin (Pygoscelis papua)",4400,"Female"
"199","Gentoo penguin (Pygoscelis papua)",5000,"Male"
"200","Gentoo penguin (Pygoscelis papua)",4900,"Female"
"201","Gentoo penguin (Pygoscelis papua)",5050,"Male"
"202","Gentoo penguin (Pygoscelis papua)",4300,"Female"
"203","Gentoo penguin (Pygoscelis papua)",5000,"Male"
"204","Gentoo penguin (Pygoscelis papua)",4450,"Female"
"205","Gentoo penguin (Pygoscelis papua)",5550,"Male"
"206","Gentoo penguin (Pygoscelis papua)",4200,"Female"
"207","Gentoo penguin (Pygoscelis papua)",5300,"Male"
"208","Gentoo penguin (Pygoscelis papua)",4400,"Female"
"209","Gentoo penguin (Pygoscelis papua)",5650,"Male"
"210","Gentoo penguin (Pygoscelis papua)",4700,"Female"
"211","Gentoo penguin (Pygoscelis papua)",5700,"Male"
"212","Gentoo penguin (Pygoscelis papua)",5800,"Male"
"213","Gentoo penguin (Pygoscelis papua)",4700,"Female"
"214","Gentoo penguin (Pygoscelis papua)",5550,"Male"
"215","Gentoo penguin (Pygoscelis papua)",4750,"Female"
"216","Gentoo penguin (Pygoscelis papua)",5000,"Male"
"217","Gentoo penguin (Pygoscelis papua)",5100,"Male"
"218","Gentoo penguin (Pygoscelis papua)",5200,"Female"
"219","Gentoo penguin (Pygoscelis papua)",4700,"Female"
"220","Gentoo penguin (Pygoscelis papua)",5800,"Male"
"221","Gentoo penguin (Pygoscelis papua)",4600,"Female"
"222","Gentoo penguin (Pygoscelis papua)",6000,"Male"
"223","Gentoo penguin (Pygoscelis papua)",4750,"Female"
"224","Gentoo penguin (Pygoscelis papua)",5950,"Male"
"225","Gentoo penguin (Pygoscelis papua)",4625,"Female"
"226","Gentoo penguin (Pygoscelis papua)",5450,"Male"
"227","Gentoo penguin (Pygoscelis papua)",4725,"Female"
"228","Gentoo penguin (Pygoscelis papua)",5350,"Male"
"229","Gentoo penguin (Pygoscelis papua)",4750,"Female"
"230","Gentoo penguin (Pygoscelis papua)",5600,"Male"
"231","Gentoo penguin (Pygoscelis papua)",4600,"Female"
"232","Gentoo penguin (Pygoscelis papua)",5300,"Male"
"233","Gentoo penguin (Pygoscelis papua)",4875,"Female"
"234","Gentoo penguin (Pygoscelis papua)",5550,"Male"
"235","Gentoo penguin (Pygoscelis papua)",4950,"Female"
"236","Gentoo penguin (Pygoscelis papua)",5400,"Male"
"237","Gentoo penguin (Pygoscelis papua)",4750,"Female"
"238","Gentoo penguin (Pygoscelis papua)",5650,"Male"
"239","Gentoo penguin (Pygoscelis papua)",4850,"Female"
"240","Gentoo penguin (Pygoscelis papua)",5200,"Male"
"241","Gentoo penguin (Pygoscelis papua)",4925,"Male"
"242","Gentoo penguin (Pygoscelis papua)",4875,"Female"
"243","Gentoo penguin (Pygoscelis papua)",4625,"Female"
"244","Gentoo penguin (Pygoscelis papua)",5250,"Male"
"245","Gentoo penguin (Pygoscelis papua)",4850,"Female"
"246","Gentoo penguin (Pygoscelis papua)",5600,"Male"
"247","Gentoo penguin (Pygoscelis papua)",4975,"Female"
"248","Gentoo penguin (Pygoscelis papua)",5500,"Male"
"249","Gentoo penguin (Pygoscelis papua)",5500,"Male"
"250","Gentoo penguin (Pygoscelis papua)",4700,"Female"
"251","Gentoo penguin (Pygoscelis papua)",5500,"Male"
"252","Gentoo penguin (Pygoscelis papua)",4575,"Female"
"253","Gentoo penguin (Pygoscelis papua)",5500,"Male"
"254","Gentoo penguin (Pygoscelis papua)",5000,"Female"
"255","Gentoo penguin (Pygoscelis papua)",5950,"Male"
"256","Gentoo penguin (Pygoscelis papua)",4650,"Female"
"257","Gentoo penguin (Pygoscelis papua)",5500,"Male"
"258","Gentoo penguin (Pygoscelis papua)",4375,"Female"
"259","Gentoo penguin (Pygoscelis papua)",5850,"Male"
"260","Gentoo penguin (Pygoscelis papua)",6000,"Male"
"261","Gentoo penguin (Pygoscelis papua)",4925,"Female"
"262","Gentoo penguin (Pygoscelis papua)",4850,"Female"
"263","Gentoo penguin (Pygoscelis papua)",5750,"Male"
"264","Gentoo penguin (Pygoscelis papua)",5200,"Female"
"265","Gentoo penguin (Pygoscelis papua)",5400,"Male"
"266","Chinstrap penguin (Pygoscelis antarctica)",3500,"Female"
"267","Chinstrap penguin (Pygoscelis antarctica)",3900,"Male"
"268","Chinstrap penguin (Pygoscelis antarctica)",3650,"Male"
"269","Chinstrap penguin (Pygoscelis antarctica)",3525,"Female"
"270","Chinstrap penguin (Pygoscelis antarctica)",3725,"Male"
"271","Chinstrap penguin (Pygoscelis antarctica)",3950,"Female"
"272","Chinstrap penguin (Pygoscelis antarctica)",3250,"Female"
"273","Chinstrap penguin (Pygoscelis antarctica)",3750,"Male"
"274","Chinstrap penguin (Pygoscelis antarctica)",4150,"Female"
"275","Chinstrap penguin (Pygoscelis antarctica)",3700,"Male"
"276","Chinstrap penguin (Pygoscelis antarctica)",3800,"Female"
"277","Chinstrap penguin (Pygoscelis antarctica)",3775,"Male"
"278","Chinstrap penguin (Pygoscelis antarctica)",3700,"Female"
"279","Chinstrap penguin (Pygoscelis antarctica)",4050,"Male"
"280","Chinstrap penguin (Pygoscelis antarctica)",3575,"Female"
"281","Chinstrap penguin (Pygoscelis antarctica)",4050,"Male"
"282","Chinstrap penguin (Pygoscelis antarctica)",3300,"Male"
"283","Chinstrap penguin (Pygoscelis antarctica)",3700,"Female"
"284","Chinstrap penguin (Pygoscelis antarctica)",3450,"Female"
"285","Chinstrap penguin (Pygoscelis antarctica)",4400,"Male"
"286","Chinstrap penguin (Pygoscelis antarctica)",3600,"Female"
"287","Chinstrap penguin (Pygoscelis antarctica)",3400,"Male"
"288","Chinstrap penguin (Pygoscelis antarctica)",2900,"Female"
"289","Chinstrap penguin (Pygoscelis antarctica)",3800,"Male"
"290","Chinstrap penguin (Pygoscelis antarctica)",3300,"Female"
"291","Chinstrap penguin (Pygoscelis antarctica)",4150,"Male"
"292","Chinstrap penguin (Pygoscelis antarctica)",3400,"Female"
"293","Chinstrap penguin (Pygoscelis antarctica)",3800,"Male"
"294","Chinstrap penguin (Pygoscelis antarctica)",3700,"Female"
"295","Chinstrap penguin (Pygoscelis antarctica)",4550,"Male"
"296","Chinstrap penguin (Pygoscelis antarctica)",3200,"Female"
"297","Chinstrap penguin (Pygoscelis antarctica)",4300,"Male"
"298","Chinstrap penguin (Pygoscelis antarctica)",3350,"Female"
"299","Chinstrap penguin (Pygoscelis antarctica)",4100,"Male"
"300","Chinstrap penguin (Pygoscelis antarctica)",3600,"Male"
"301","Chinstrap penguin (Pygoscelis antarctica)",3900,"Female"
"302","Chinstrap penguin (Pygoscelis antarctica)",3850,"Female"
"303","Chinstrap penguin (Pygoscelis antarctica)",4800,"Male"
"304","Chinstrap penguin (Pygoscelis antarctica)",2700,"Female"
"305","Chinstrap penguin (Pygoscelis antarctica)",4500,"Male"
"306","Chinstrap penguin (Pygoscelis antarctica)",3950,"Male"
"307","Chinstrap penguin (Pygoscelis antarctica)",3650,"Female"
"308","Chinstrap penguin (Pygoscelis antarctica)",3550,"Male"
"309","Chinstrap penguin (Pygoscelis antarctica)",3500,"Female"
"310","Chinstrap penguin (Pygoscelis antarctica)",3675,"Female"
"311","Chinstrap penguin (Pygoscelis antarctica)",4450,"Male"
"312","Chinstrap penguin (Pygoscelis antarctica)",3400,"Female"
"313","Chinstrap penguin (Pygoscelis antarctica)",4300,"Male"
"314","Chinstrap penguin (Pygoscelis antarctica)",3250,"Male"
"315","Chinstrap penguin (Pygoscelis antarctica)",3675,"Female"
"316","Chinstrap penguin (Pygoscelis antarctica)",3325,"Female"
"317","Chinstrap penguin (Pygoscelis antarctica)",3950,"Male"
"318","Chinstrap penguin (Pygoscelis antarctica)",3600,"Female"
"319","Chinstrap penguin (Pygoscelis antarctica)",4050,"Male"
"320","Chinstrap penguin (Pygoscelis antarctica)",3350,"Female"
"321","Chinstrap penguin (Pygoscelis antarctica)",3450,"Male"
"322","Chinstrap penguin (Pygoscelis antarctica)",3250,"Female"
"323","Chinstrap penguin (Pygoscelis antarctica)",4050,"Male"
"324","Chinstrap penguin (Pygoscelis antarctica)",3800,"Male"
"325","Chinstrap penguin (Pygoscelis antarctica)",3525,"Female"
"326","Chinstrap penguin (Pygoscelis antarctica)",3950,"Male"
"327","Chinstrap penguin (Pygoscelis antarctica)",3650,"Female"
"328","Chinstrap penguin (Pygoscelis antarctica)",3650,"Female"
"329","Chinstrap penguin (Pygoscelis antarctica)",4000,"Male"
"330","Chinstrap penguin (Pygoscelis antarctica)",3400,"Female"
"331","Chinstrap penguin (Pygoscelis antarctica)",3775,"Male"
"332","Chinstrap penguin (Pygoscelis antarctica)",4100,"Male"
"333","Chinstrap penguin (Pygoscelis antarctica)",3775,"Female"
